path_adversarial,adversarial_prevision,success
Adversarial_img/out_distribution/logo_signs/fg/target/0.png,8,0
Adversarial_img/out_distribution/logo_signs/fg/target/1.png,3,0
Adversarial_img/out_distribution/logo_signs/fg/target/2.png,4,0
Adversarial_img/out_distribution/logo_signs/fg/target/3.png,1,1
Adversarial_img/out_distribution/logo_signs/fg/target/4.png,1,1
Adversarial_img/out_distribution/logo_signs/fg/target/5.png,1,1
Adversarial_img/out_distribution/logo_signs/fg/target/6.png,23,0
Adversarial_img/out_distribution/logo_signs/fg/target/7.png,35,0
